KEYILIE1;KEYILIE2;LIENR;LIENAME;LIEANSPA;LIESTRAS;LIEPLZOR;LIEERGNZ;LIETELNR;LIEFAXNR;LIERBPRZ;LIEABPRZ;LIEMSTSL;LIEZBDSL;LIELIEGR;LIELIESP;LIELIETX;LIEKRENR;LIEUSTID;LIEVERKZ;LIELNDSL;LIEKUBEZ;LIEKUNZE;LIELGBST1;LIELGBST2;LIELGBST3;LIELGBST4;LIELGBST5;LIELGBST6;LIELGBST7;LIELGBST8;LIELGBST9;LIELGBST10;LIELGBST11;LIELGBST12;LIELGBST13;LIELGBST14;LIELGBST15;LIELGBST16;LIELGBST17;LIELGBST18;LIELGBST19;LIELGBST20;LIELGBST21;LIELGBST22;LIELGBST23;LIELGBST24;LIELGBST25;LIELGBST26;LIELGBST27;LIELGBST28;LIELGBST29;LIELGBST30;LIEKRELM;LIELEERG;LIEANOTE;LIEBNOTE;LIECNOTE;LIEDOSS;LIEDEVSL;LIEBONKZ;LIEPRUKZ;LIESPRAC;LIEENTVG;LIEMITNR;LIEBOPRZ;LIEKUNNR;LIEMINBW;LIESABNR;LIEZBDEZ;LIEVERDT;LIEVERZT;LIEEZBKZ;LIEMSTLG;LIEMSTEV;LIEEVGEB;LIEDSDKZ;LIESPDKZ;LIESTATS;LIESTAID;LIEEZAFR;LIEBKLND;LIEBKBLZ;LIEBKFNR;LIEKNTNR;LIEMAXBW;LIELWEDT;LIEBSAUS;LIEAUSKO;LIEEAAUS;LIEGLAKZ;LIEILNNR;LIELBDSL;LIEZWEIS;LIEKDREF;LIERBTXT;LIERBBE1;LIERBPR2;LIERBTX2;LIERBBE2;LIERBBA2;LIERBPR3;LIERBTX3;LIERBBE3;LIERBBA3;LIEMSTR1;LIEMSTR2;LIEMSTR3;LIEEDIKZ;LIELWDT;LIEEVGBA;LIEGFART;LIEANLIE;LIEBIC;LIEIBAN;LIEEDISO;LIEGGNNR;LIEDSDRG;LIEDSDLE;LIEGSZVO;LIEGSZBI;LIESEPAM;LIENOSPAV;LIEPORZUG;LIETOUR
070005;Aramemnon, Korinthos               070005;070005;Aramemnon                          ;                                   ;                                   ;GR-20100 Korinthos                 ;                                   ;                    ;                    ;0;0;04;170;5000;J;               ;70005   ;               ;9;009;Aramemnon, Korinthos               ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;9;9; ;00;0;0;01;0;        ;0;          ;0;RG;   ;        ;      ;0;  ;  ;0;0;2;0;CP    ;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
070012;Agrod´elx S. Coop, Elche/Alicante  070012;070012;Agrod´elx S. Coop                  ;                                   ;                                   ;E-03294 Elche/Alicante             ;                                   ;                    ;                    ;0;0;04;170;5000;J;               ;        ;               ;9;011;Agrod´elx S. Coop, Elche/Alicante  ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;-7644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;9; ;00;0;0;01;0;        ;0;          ;0;RG;   ;        ;      ;0;  ;  ;0;0;2;0;PP    ;0;   ;              ;   ;                    ;0;021106;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
070025;Agricola GmbH, Offenburg/Baden     070025;070025;Agricola GmbH                      ;                                   ;                                   ;D-77602 Offenburg/Baden            ;                                   ;                    ;                    ;0;0;04;170;4000;J;               ;        ;               ;9;004;Agricola GmbH, Offenburg/Baden     ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;9;9; ;00;0;0;01;0;        ;0;          ;0;RG;   ;        ;      ;0;  ;  ;0;0;2;0;CP    ;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
070038;Alkyon S.A.,                       070038;070038;yAlkyon S.A.;;;GR;;;;0;0;04;170;5000;N;;;;9;009;Alkyon S.A.,;;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;4;3;;00;0;0;01;0;;0;;0;RG;;;;0;;;0;0;2;0;RRA;0;;;;;0;220617;0;;0;0;;;;;;;;;;;;;;;;;;1;22.06.2017 00:00;;;;;;;;;;;;;;;9999
070059;Aladin, Polignano a Mare           070059;070059;Aladin                             ;                                   ;                                   ;I-70044 Polignano a Mare           ;                                   ;                    ;                    ;0;0;04;170;5000;J;               ;        ;               ;9;005;Aladin, Polignano a Mare           ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;9;9; ;00;0;0;01;0;        ;0;          ;0;RG;   ;        ;      ;0;  ;  ;0;0;2;0;CP    ;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
070722;Charlys Erdbeerhof , Juelich-Broich070722;070722;Charlys Erdbeerhof;                                   ;Am Friedhof 1                      ;52428 Jülich-Broich                ;                                   ;02461/4067470;;0;0;08;120;3000;N;               ;70722   ;               ;9;004;Charlys Erdbeerhof , Juelich-Broich;      ;0;0;10815;0;28;0;1263023;6003;0;0;4603;798668;0;100788;8419;1190;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1; ;00;0;0;01;0;        ;0;          ;0;AF;   ;        ;      ;0;  ;  ;0;0;2;0;RRA;0;   ;              ;   ;                    ;0;070917;0; ;0;0;               ;   ; ;      ;;;;;;;;;;;;;;1;07.09.2017 00:00;;;;;;;;;;;;;;;9999
070001;Agrocastell S.A., Granada          070001;070001;Agrocastell S.A.                   ;                                   ;Castell de Ferro                   ;E-18740 Granada                    ;                                   ;0034/958/656079     ;0034/958/830290     ;0;0;04;170;5000;J;               ;70001   ;               ;9;011;Agrocastell S.A., Granada          ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;9; ;00;0;0;01;0;        ;0;          ;0;HS;   ;        ;      ;0;  ;  ;0;0;2;0;CP    ;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
070002;Agro Carchuna Motril, S.A., Calahin070002;070002;Agro Carchuna Motril, S.A.         ;                                   ;                                   ;E-18730 Calahinda (Granada)        ;                                   ;                    ;                    ;0;0;04;170;5000;J;               ;        ;               ;9;011;Agro Carchuna Motril, S.A., Calahin;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;2;9; ;00;0;0;01;0;        ;0;          ;0;HS;   ;        ;      ;0;  ;  ;0;0;2;0;CP    ;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
080579;Polfrucht AG, Berlin               080579;080579;Polfrucht AG;Fruchthof;Beusselstr. 44 n-q;10553 Berlin;                                   ;                    ;                    ;0;0;  ;102;1000;N;               ;        ;               ;9;004;Polfrucht AG, Berlin;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2; ;00;0;0;01;0;        ;0;          ;0;AF;   ;        ;      ;0;  ;  ;0;0;2;0;AM;0;   ;              ;   ;                    ;0;130714;0; ;0;0;               ;   ; ;      ;               ;0;0;               ;0;0;0;               ;0;0;  ;  ;  ;1;13.07.2014 00:00;;;;;;;;;;;;;;;9999
070040;Atlanta Fruchtagentur GmbH, Kehl   070040;070040;Atlanta Fruchtagentur GmbH         ;                                   ;                                   ;77964 Kehl                         ;                                   ;                    ;                    ;0;0;  ;170;4000;J;               ;70040   ;               ;9;004;Atlanta Fruchtagentur GmbH, Kehl   ;      ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256000;1;9;9;9; ;00;0;0;01;0;        ;0;          ;0;RG;   ;        ;      ;0;  ;  ;0;0;2;0;VB;0;   ;              ;   ;                    ;0;      ;0; ; ;0;               ;   ; ;      ;;;;;;;;;;;;;;;01.01.1980 00:00;;;;;;;;;;;;;;;9999
